

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	213	428	20	17	73.5	11
1	52	419	12	21	74.0	11
2	411	384	10	20	90.5	11
3	115	372	17	21	179.0	11
4	517	301	19	21	96.0	11
5	195	228	15	20	141.5	11
6	309	213	7	21	37.0	11
7	23	196	15	21	229.0	11
8	225	192	17	21	135.0	11
9	312	179	15	21	133.5	11
10	60	91	12	21	63.5	11
11	100	73	15	21	142.0	11
12	65	36	14	11	55.0	11
12	56	15	17	21	92.5	11
13	268	9	15	21	79.0	11
14	555	5	13	21	146.0	11

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	214	430	20	17	73.5	12
1	52	421	12	21	74.0	12
2	412	386	10	20	90.5	12
3	115	373	17	21	179.0	12
4	517	302	19	21	96.0	12
5	195	228	15	20	142.5	12
6	307	214	9	21	42.0	12
7	25	196	15	21	229.0	12
8	225	194	17	21	134.0	12
9	312	181	15	21	135.0	12
10	60	93	12	21	62.5	12
11	100	75	15	21	142.0	12
12	66	37	14	10	50.0	12
12	58	16	17	21	93.0	12
13	269	9	15	21	80.5	12
14	555	5	13	21	147.0	12

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	216	430	20	17	73.5	13
1	52	421	12	21	74.0	13
2	414	387	10	20	90.5	13
3	115	373	17	21	179.0	13
4	517	303	19	21	96.0	13
5	195	228	15	20	142.5	13
6	307	214	9	21	42.0	13
7	26	197	15	21	229.0	13
8	227	194	17	21	134.0	13
9	312	182	15	20	134.5	13
10	60	93	12	21	62.5	13
11	101	75	15	21	142.0	13
12	68	37	14	11	53.5	13
12	58	16	17	21	93.0	13
13	269	10	15	21	80.5	13
14	557	5	13	21	147.0	13

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	216	430	20	17	73.5	14
1	53	422	12	21	74.0	14
2	414	389	10	20	90.5	14
3	117	373	17	21	179.0	14
4	518	305	19	21	96.0	14
5	195	228	15	20	142.5	14
6	307	214	9	21	42.0	14
7	26	199	15	21	229.0	14
8	229	194	17	21	134.0	14
9	314	184	15	15	122.5	14
10	60	93	12	21	62.5	14
11	101	75	15	21	142.0	14
12	69	37	14	13	62.0	14
13	59	16	17	21	93.0	14
14	271	12	15	21	80.5	14
15	558	6	13	21	147.0	14

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	216	431	20	17	73.5	15
1	53	422	12	21	74.0	15
2	416	389	10	20	90.5	15
3	118	375	17	21	179.0	15
4	520	307	19	21	96.0	15
5	195	228	15	20	142.5	15
6	308	214	10	21	45.0	15
7	26	199	15	21	229.0	15
8	231	194	17	21	131.5	15
9	314	184	15	15	122.5	15
10	61	94	12	21	63.5	15
11	101	76	15	21	142.0	15
12	69	37	14	15	70.5	15
13	59	16	17	21	93.0	15
14	272	12	15	21	80.5	15
15	559	7	13	21	147.0	15

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	217	431	20	17	73.5	16
1	53	422	12	21	74.0	16
2	416	391	10	20	90.5	16
3	119	377	17	21	180.0	16
4	521	307	19	21	96.0	16
5	195	230	15	20	142.5	16
6	308	214	10	21	45.0	16
7	26	199	15	21	229.0	16
8	232	194	17	21	135.0	16
9	316	185	15	12	115.0	16
10	61	95	12	21	63.5	16
11	101	76	15	21	142.0	16
12	69	37	14	15	70.5	16
13	60	16	17	21	93.0	16
14	272	12	15	21	80.5	16
15	559	8	13	21	147.0	16

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	219	432	20	17	73.5	17
1	53	422	12	21	74.0	17
2	417	393	10	20	90.5	17
3	120	378	17	21	179.0	17
4	523	307	19	21	96.0	17
5	195	232	15	20	142.5	17
6	309	215	10	21	45.0	17
7	28	199	15	21	229.0	17
8	232	196	17	21	135.0	17
9	316	185	15	12	115.0	17
10	63	95	12	21	63.5	17
11	103	76	15	21	142.0	17
12	71	37	14	15	70.5	17
13	61	16	17	21	93.0	17
14	274	14	15	21	80.5	17
15	559	8	13	21	147.0	17

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	219	434	20	17	73.5	18
1	55	422	12	21	74.0	18
2	419	393	10	20	90.5	18
3	122	380	17	21	179.0	18
4	525	307	19	21	96.0	18
5	195	232	15	20	142.5	18
6	311	215	10	21	45.0	18
7	28	201	15	21	229.0	18
8	234	197	17	21	135.0	18
9	316	185	15	12	115.0	18
10	63	97	12	21	63.5	18
11	105	77	15	21	142.0	18
12	71	38	14	15	70.5	18
13	61	17	17	21	93.0	18
14	274	16	15	21	80.5	18
15	561	8	13	21	147.0	18

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	219	434	20	17	73.5	19
1	57	424	12	21	74.0	19
2	421	393	10	20	90.5	19
3	123	380	17	21	179.5	19
4	525	307	19	21	96.0	19
5	195	234	15	20	142.5	19
